token,ner_tag,raw_tags,id
[CLS],10.0,O,1000000
"והרשב""א",,B-AUT,1000000
ריש,,O,1000000
פרק,,B-pSEC,1000000
הערל,,B-SEC,1000000
דקדק,,O,1000000
בזה,,O,1000000
וכתב,,O,1000000
דבריי,,O,1000000
##תא,,O,1000000
פלי,,O,1000000
##גי,,O,1000000
[SEP],10.0,O,1000000
,10.0,O,1000000
[CLS],10.0,O,1000001
"והרשב""א",,B-AUT,1000001
ריש,,O,1000001
סימן,,B-pSEC,1000001
הערל,,B-SEC,1000001
דקדק,,O,1000001
בזה,,O,1000001
וכתב,,O,1000001
דבריי,,O,1000001
##תא,,O,1000001
פלי,,O,1000001
##גי,,O,1000001
[SEP],10.0,O,1000001
,10.0,O,1000001
[CLS],10.0,O,1000002
"והרשב""א",,B-AUT,1000002
ריש,,O,1000002
חלק,,B-pSEC,1000002
הערל,,B-SEC,1000002
דקדק,,O,1000002
בזה,,O,1000002
וכתב,,O,1000002
דבריי,,O,1000002
##תא,,O,1000002
פלי,,O,1000002
##גי,,O,1000002
[SEP],10.0,O,1000002
,10.0,O,1000002
[CLS],10.0,O,1000003
"והרשב""א",,B-AUT,1000003
ריש,,O,1000003
דיני,,B-pSEC,1000003
הערל,,B-SEC,1000003
דקדק,,O,1000003
בזה,,O,1000003
וכתב,,O,1000003
דבריי,,O,1000003
##תא,,O,1000003
פלי,,O,1000003
##גי,,O,1000003
[SEP],10.0,O,1000003
,10.0,O,1000003
[CLS],10.0,O,1000004
"והרשב""א",,B-AUT,1000004
ריש,,O,1000004
(,,B-pSEC,1000004
הערל,,B-SEC,1000004
דקדק,,O,1000004
בזה,,O,1000004
וכתב,,O,1000004
דבריי,,O,1000004
##תא,,O,1000004
פלי,,O,1000004
##גי,,O,1000004
[SEP],10.0,O,1000004
,10.0,O,1000004
[CLS],10.0,O,1000005
"והרשב""א",,B-AUT,1000005
ריש,,O,1000005
מהלכות,,B-pSEC,1000005
הערל,,B-SEC,1000005
דקדק,,O,1000005
בזה,,O,1000005
וכתב,,O,1000005
דבריי,,O,1000005
##תא,,O,1000005
פלי,,O,1000005
##גי,,O,1000005
[SEP],10.0,O,1000005
,10.0,O,1000005
[CLS],10.0,O,1000006
יש,,O,1000006
מקום,,O,1000006
עיון,,O,1000006
מהא,,O,1000006
ד,,O,1000006
##גיטין,,B-BOK,1000006
(,,B-pSEC,1000006
"י""ח",,B-CHP,1000006
עמוד,,B-pSCHP,1000006
א',,B-SCHP,1000006
),,O,1000006
דכ,,O,1000006
##ת,,O,1000006
##בו,,O,1000006
ואנ,,O,1000006
##חיה,,O,1000006
בכיס,,O,1000006
##תי,,O,1000006
##ה,,O,1000006
דאי,,O,1000006
מפי,,O,1000006
##יסה,,O,1000006
תפ,,O,1000006
##ייס,,O,1000006
[SEP],10.0,O,1000006
,10.0,O,1000006
[CLS],10.0,O,1000007
יש,,O,1000007
מקום,,O,1000007
עיון,,O,1000007
מהא,,O,1000007
ד,,O,1000007
##גיטין,,B-BOK,1000007
פרק,,B-pSEC,1000007
"י""ח",,B-CHP,1000007
עמוד,,B-pSCHP,1000007
א',,B-SCHP,1000007
),,O,1000007
דכ,,O,1000007
##ת,,O,1000007
##בו,,O,1000007
ואנ,,O,1000007
##חיה,,O,1000007
בכיס,,O,1000007
##תי,,O,1000007
##ה,,O,1000007
דאי,,O,1000007
מפי,,O,1000007
##יסה,,O,1000007
תפ,,O,1000007
##ייס,,O,1000007
[SEP],10.0,O,1000007
,10.0,O,1000007
[CLS],10.0,O,1000008
יש,,O,1000008
מקום,,O,1000008
עיון,,O,1000008
מהא,,O,1000008
ד,,O,1000008
##גיטין,,B-BOK,1000008
סימן,,B-pSEC,1000008
"י""ח",,B-CHP,1000008
עמוד,,B-pSCHP,1000008
א',,B-SCHP,1000008
),,O,1000008
דכ,,O,1000008
##ת,,O,1000008
##בו,,O,1000008
ואנ,,O,1000008
##חיה,,O,1000008
בכיס,,O,1000008
##תי,,O,1000008
##ה,,O,1000008
דאי,,O,1000008
מפי,,O,1000008
##יסה,,O,1000008
תפ,,O,1000008
##ייס,,O,1000008
[SEP],10.0,O,1000008
,10.0,O,1000008
[CLS],10.0,O,1000009
יש,,O,1000009
מקום,,O,1000009
עיון,,O,1000009
מהא,,O,1000009
ד,,O,1000009
##גיטין,,B-BOK,1000009
חלק,,B-pSEC,1000009
"י""ח",,B-CHP,1000009
עמוד,,B-pSCHP,1000009
א',,B-SCHP,1000009
),,O,1000009
דכ,,O,1000009
##ת,,O,1000009
##בו,,O,1000009
ואנ,,O,1000009
##חיה,,O,1000009
בכיס,,O,1000009
##תי,,O,1000009
##ה,,O,1000009
דאי,,O,1000009
מפי,,O,1000009
##יסה,,O,1000009
תפ,,O,1000009
##ייס,,O,1000009
[SEP],10.0,O,1000009
,10.0,O,1000009
[CLS],10.0,O,1000010
יש,,O,1000010
מקום,,O,1000010
עיון,,O,1000010
מהא,,O,1000010
ד,,O,1000010
##גיטין,,B-BOK,1000010
דיני,,B-pSEC,1000010
"י""ח",,B-CHP,1000010
עמוד,,B-pSCHP,1000010
א',,B-SCHP,1000010
),,O,1000010
דכ,,O,1000010
##ת,,O,1000010
##בו,,O,1000010
ואנ,,O,1000010
##חיה,,O,1000010
בכיס,,O,1000010
##תי,,O,1000010
##ה,,O,1000010
דאי,,O,1000010
מפי,,O,1000010
##יסה,,O,1000010
תפ,,O,1000010
##ייס,,O,1000010
[SEP],10.0,O,1000010
,10.0,O,1000010
[CLS],10.0,O,1000011
יש,,O,1000011
מקום,,O,1000011
עיון,,O,1000011
מהא,,O,1000011
ד,,O,1000011
##גיטין,,B-BOK,1000011
מהלכות,,B-pSEC,1000011
