token,label,label_tag,id
[CLS],10.0,O,1000000
"והרשב""א",,B-AUT,1000000
ריש,,O,1000000
פרק,,B-pSEC,1000000
הערל,,B-SEC,1000000
דקדק,,O,1000000
בזה,,O,1000000
וכתב,,O,1000000
דבריי,,O,1000000
##תא,,O,1000000
פלי,,O,1000000
##גי,,O,1000000
[SEP],10.0,O,1000000
,10.0,O,1000000
[CLS],10.0,O,1000001
"והרשב""א",,B-AUT,1000001
ריש,,O,1000001
פרק,,B-pSEC,1000001
הערל,,B-SEC,1000001
דקדק,,O,1000001
בזה,,O,1000001
וכתב,,O,1000001
דבריי,,O,1000001
##תא,,O,1000001
פלי,,O,1000001
##גי,,O,1000001
[SEP],10.0,O,1000001
,10.0,O,1000001
[CLS],10.0,O,1000002
"והרשב""א",,B-AUT,1000002
ריש,,O,1000002
פרק,,B-pSEC,1000002
הערל,,B-SEC,1000002
דקדק,,O,1000002
בזה,,O,1000002
וכתב,,O,1000002
דבריי,,O,1000002
##תא,,O,1000002
פלי,,O,1000002
##גי,,O,1000002
[SEP],10.0,O,1000002
,10.0,O,1000002
[CLS],10.0,O,1000003
"והרשב""א",,B-AUT,1000003
ריש,,O,1000003
פרק,,B-pSEC,1000003
הערל,,B-SEC,1000003
דקדק,,O,1000003
בזה,,O,1000003
וכתב,,O,1000003
דבריי,,O,1000003
##תא,,O,1000003
פלי,,O,1000003
##גי,,O,1000003
[SEP],10.0,O,1000003
,10.0,O,1000003
[CLS],10.0,O,1000004
"והרשב""א",,B-AUT,1000004
ריש,,O,1000004
פרק,,B-pSEC,1000004
הערל,,B-SEC,1000004
דקדק,,O,1000004
בזה,,O,1000004
וכתב,,O,1000004
דבריי,,O,1000004
##תא,,O,1000004
פלי,,O,1000004
##גי,,O,1000004
[SEP],10.0,O,1000004
,10.0,O,1000004
[CLS],10.0,O,1000005
"והרשב""א",,B-AUT,1000005
ריש,,O,1000005
פרק,,B-pSEC,1000005
הערל,,B-SEC,1000005
דקדק,,O,1000005
בזה,,O,1000005
וכתב,,O,1000005
דבריי,,O,1000005
##תא,,O,1000005
פלי,,O,1000005
##גי,,O,1000005
[SEP],10.0,O,1000005
,10.0,O,1000005
[CLS],10.0,O,1000006
"והרשב""א",,B-AUT,1000006
ריש,,O,1000006
פרק,,B-pSEC,1000006
הערל,,B-SEC,1000006
דקדק,,O,1000006
בזה,,O,1000006
וכתב,,O,1000006
דבריי,,O,1000006
##תא,,O,1000006
פלי,,O,1000006
##גי,,O,1000006
[SEP],10.0,O,1000006
,10.0,O,1000006
[CLS],10.0,O,1000007
"והרשב""א",,B-AUT,1000007
ריש,,O,1000007
פרק,,B-pSEC,1000007
הערל,,B-SEC,1000007
דקדק,,O,1000007
בזה,,O,1000007
וכתב,,O,1000007
דבריי,,O,1000007
##תא,,O,1000007
פלי,,O,1000007
##גי,,O,1000007
[SEP],10.0,O,1000007
,10.0,O,1000007
[CLS],10.0,O,1000008
"והרשב""א",,B-AUT,1000008
ריש,,O,1000008
פרק,,B-pSEC,1000008
הערל,,B-SEC,1000008
דקדק,,O,1000008
בזה,,O,1000008
וכתב,,O,1000008
דבריי,,O,1000008
##תא,,O,1000008
פלי,,O,1000008
##גי,,O,1000008
[SEP],10.0,O,1000008
,10.0,O,1000008
[CLS],10.0,O,1000009
"והרשב""א",,B-AUT,1000009
ריש,,O,1000009
פרק,,B-pSEC,1000009
הערל,,B-SEC,1000009
דקדק,,O,1000009
בזה,,O,1000009
וכתב,,O,1000009
דבריי,,O,1000009
##תא,,O,1000009
פלי,,O,1000009
##גי,,O,1000009
[SEP],10.0,O,1000009
,10.0,O,1000009
[CLS],10.0,O,1000010
"והרשב""א",,B-AUT,1000010
ריש,,O,1000010
פרק,,B-pSEC,1000010
הערל,,B-SEC,1000010
דקדק,,O,1000010
בזה,,O,1000010
וכתב,,O,1000010
דבריי,,O,1000010
##תא,,O,1000010
פלי,,O,1000010
##גי,,O,1000010
[SEP],10.0,O,1000010
,10.0,O,1000010
[CLS],10.0,O,1000011
"והרשב""א",,B-AUT,1000011
ריש,,O,1000011
פרק,,B-pSEC,1000011
הערל,,B-SEC,1000011
דקדק,,O,1000011
בזה,,O,1000011
וכתב,,O,1000011
דבריי,,O,1000011
##תא,,O,1000011
פלי,,O,1000011
##גי,,O,1000011
[SEP],10.0,O,1000011
,10.0,O,1000011
[CLS],10.0,O,1000012
"והרשב""א",,B-AUT,1000012
ריש,,O,1000012
פרק,,B-pSEC,1000012
הערל,,B-SEC,1000012
דקדק,,O,1000012
בזה,,O,1000012
וכתב,,O,1000012
דבריי,,O,1000012
##תא,,O,1000012
פלי,,O,1000012
##גי,,O,1000012
[SEP],10.0,O,1000012
,10.0,O,1000012
[CLS],10.0,O,1000013
"והרשב""א",,B-AUT,1000013
ריש,,O,1000013
פרק,,B-pSEC,1000013
הערל,,B-SEC,1000013
דקדק,,O,1000013
בזה,,O,1000013
וכתב,,O,1000013
דבריי,,O,1000013
##תא,,O,1000013
פלי,,O,1000013
##גי,,O,1000013
[SEP],10.0,O,1000013
,10.0,O,1000013
[CLS],10.0,O,1000014
"והרשב""א",,B-AUT,1000014
ריש,,O,1000014
פרק,,B-pSEC,1000014
הערל,,B-SEC,1000014
דקדק,,O,1000014
בזה,,O,1000014
וכתב,,O,1000014
דבריי,,O,1000014
##תא,,O,1000014
פלי,,O,1000014
##גי,,O,1000014
[SEP],10.0,O,1000014
,10.0,O,1000014
[CLS],10.0,O,1000015
"והרשב""א",,B-AUT,1000015
ריש,,O,1000015
פרק,,B-pSEC,1000015
הערל,,B-SEC,1000015
דקדק,,O,1000015
בזה,,O,1000015
וכתב,,O,1000015
דבריי,,O,1000015
